
Angel's Public School,"Pathankot - 145001, Punjab, India","Mobile : 9501071588, 9779747345, 9501071588 "
Angel’s World School,"Amritsar - 143101, Punjab, India",Mobile : 9872888341 
Angels Paradise School,"Amritsar - 143001, Punjab, India",Mobile : 9888696000 
Angle World School,"Ropar - 140101, Punjab, India","Mobile : 7508140551, 7508140552, 9501678807 "
AP International School,"Bathinda - 151003, Punjab, India","Mobile : 9417607082, 9417607084 "
APJ Smart School,"Mohali - 140103, Punjab, India",Mobile : 7696816105 
Apna Shabdh Pre School and Day Care,"Zirakpur, Punjab, India",Mobile : 9780958036 
Apollo Public School,"Patiala - 147002, Punjab, India",Mobile : 9888711980 
Apple Kids,"Gurdaspur - 143521, Punjab, India",Mobile : 9843340455 
Army Public School - APS Abohar,"Abohar - 152116, Punjab, India",Mobile : 9115506008 
Army Public School - APS Amritsar,"Amritsar - 143107, Punjab, India","Mobile : 9501600599, 9463505599 "
Army Public School - APS Faridkot,"Faridkot - 151203, Punjab, India",Mobile : 9425876325 
Army Public School - APS Fatehgarh,"Fatehgarh Sahib - 209601, Punjab, India",Mobile : 7080667367 
Army Public School - APS Ferozepur,"Firozpur - 152001, Punjab, India",Mobile : 9876148209 
Army Public School - APS Jalandhar,"Jalandhar - 144005, Punjab, India",Mobile : 9873766805 
Army Public School - APS Kandrori,"Pathankot - 145101, Punjab, India",Mobile : 9876588489 
Army Public School - APS Kapurthala,"Kapurthala - 144601, Punjab, India",Mobile : 9914923184 
Army Public School - APS Mamun,"Pathankot - 145002, Punjab, India",Mobile : 7347004782 
Army Public School - APS Patiala,"Patiala - 147001, Punjab, India",Mobile : 8288010227 
Army Public School - APS Sangrur,"Sangrur - 148001, Punjab, India",Mobile : 9216221172 
"Army Public School - APS Tibri, Gurdaspur","Gurdaspur - 143530, Punjab, India",Mobile : 9988833832 
Aryabhatta International School - AIS,"Barnala - 148101, Punjab, India","Mobile : 9815472269, 9317513128 - Admissions "
Aryans Junior Science College,"Patiala - 143001, Punjab, India","Mobile : 9876299888, 9876599888 "
AS Modern Senior Secondary School,"Khanna - 141401, Punjab, India",Mobile : 9815935405 (Principal) 
AS Senior Secondary School,"Khanna - 141402, Punjab, India",Mobile : 9855045461 
Ashmah International School,"Mohali - 160071, Punjab, India",Mobile : 9814567139 
Atma Devi Public High School,"Ropar - 140101, Punjab, India",Mobile : 9417582414 
Atticus International School,"Zirakpur - 140603, Punjab, India",Mobile : 9988666661 
AVM High School,"Ludhiana - 141120, Punjab, India",Mobile : 9417774917 
Baba Farid Public Senior Secondary School,"Bathinda - 151001, Punjab, India",Mobile : 9501115954 
Baba Farid Senior Secondary School,"Bathinda - 151001, Punjab, India","Mobile : 9501115101, 9501115107 "
Baba Manjh Convent Senior Secondary School,"Hoshiarpur - 144208, Punjab, India",Mobile : 9216625808 
Bachpan A Play School,"Firozpur - 152002, Punjab, India",Mobile : 9872705415 
Bachpan A Play School - Bharti Daftar,"Amritsar - 143104, Punjab, India","Mobile : 7696919707, 8288880770, 9888404252 "
Bachpan A Play School - Bhogpur,"Jalandhar - 144201, Punjab, India",Mobile : 9814063249 
Bachpan A Play School - Budhlada,"Mansa - 151502, Punjab, India","Mobile : 9876053590, 9803528989 "
Bachpan A Play School - Civil Lines,"Hoshiarpur - 146001, Punjab, India","Mobile : 9501931688, 9779760506 "
Bachpan A Play School - Deelwal Colony,"Patiala - 147002, Punjab, India","Mobile : 9417655646, 9417656166 "
Bachpan A Play School - Deep Nagar,"Jalandhar - 144001, Punjab, India",Mobile : 9217701199 
Bachpan A Play School - Dhariwal,"Gurdaspur - 143519, Punjab, India",Mobile : 9646000069 
Bachpan A Play School - G.T. Road,"Jalandhar - 144009, Punjab, India","Mobile : 9217701199, 9814121239 "
Bachpan A Play School - Gidderbaha,"Mukatsar - 152101, Punjab, India",Mobile : 9888767068 
Bachpan A Play School - Goniana Mandi,"Bathinda - 151201, Punjab, India","Mobile : 9855666444, 8725911000 "
Bachpan A Play School - Goraya,"Jalandhar - 144409, Punjab, India",Mobile : 9814121239 
Bachpan A Play School - Guru Tegh Bhadur Nagar,"Bathinda - 151001, Punjab, India","Mobile : 7837500191, 9872577708 "
Bachpan A Play School - Jugial Road,"Pathankot - 145001, Punjab, India",Mobile : 9216021126 
Bachpan A Play School - Kauntapur,"Pathankot - 145001, Punjab, India","Mobile : 9888424043, 7508142014 "
Bachpan A Play School - Mata Jeevee Nagar,"Bathinda - 151001, Punjab, India","Mobile : 9217006501, 9217006502 "
Bachpan A Play School - Near BSF Road,"Gurdaspur - 143521, Punjab, India","Mobile : 8196800682, 8198800682 "
Bachpan A Play School - New Officer Colony,"Patiala - 147001, Punjab, India",Mobile : 9041512233 
Bachpan A Play School - Niholka Road,"Mohali - 140103, Punjab, India","Mobile : 9417355174, 9417407307 "
Bachpan A Play School - Punjabi Bagh,"Jalandhar - 144022, Punjab, India",Mobile : 8968412855 
Bachpan A Play School - Sahibzada Ajit Singh Nagar,"Mohali - 140603, Punjab, India","Mobile : 9996642444, 9876656641 "
Bachpan A Play School - Sant Vihar,"Pathankot - 145001, Punjab, India",Mobile : 9417198968 
Bachpan A Play School - Sardulgarh,"Mansa - 151507, Punjab, India",Mobile : 9872841092 
Bachpan A Play School - Sunder Nagar,"Ludhiana - 141007, Punjab, India","Mobile : 9417082098, 9217101236 "
Bachpan A Play School - Traffic Road,"Mansa - 151505, Punjab, India","Mobile : 9417329033, 9217401011 "
Bachpan A Play School - Tripuri,"Patiala - 147001, Punjab, India","Mobile : 9878950105, 9872290919 "
Bachpan A Play School - Vikas Nagar,"Ludhiana - 141001, Punjab, India","Mobile : 9814999873, 9814099873 "
Bal Vatika Play Way School,"Hoshiarpur - 144213, Punjab, India","Mobile : 8968279199, 8968490199 "
Balloons Playway,"Ludhiana - 141013, Punjab, India",Mobile : 8968977878 
Baring Collegiate Senior Secondary School,"Batala - 143505, Punjab, India",Mobile : 9914001283 
Baring School,"Gurdaspur - 143505, Punjab, India",Mobile : 9464282835 
BBMB DAV Public School,"Rupnagar - 140124, Punjab, India",Mobile : 9988862088 
BCM School,"Ludhiana - 141010, Punjab, India",Mobile : 9781198099 
Bhai Dan Singh Public Senior Secondary School,"Jagraon - 142034, Punjab, India",Mobile : 9876050238 
Bhai Gurdas Academy,"Amritsar - 143022, Punjab, India",Mobile : 9814898472 
Bharat Public School,"Mansa - 151507, Punjab, India","Mobile : 9779420800, 9779520800, 9996020800 "
Bhupindra International Public School - BIPS,"Patiala - 147001, Punjab, India",Mobile : 9814848505 
Bibi Kaulan Ji Public School,"Amritsar - 143022, Punjab, India",Mobile : 9779951455 
Birla Open Minds Preschool,"Mohali - 160055, Punjab, India","Mobile : 9041676777, 9872860666 "
Bits Public School,"Amritsar - 143001, Punjab, India",Mobile : 9416628853 
Bliss Public School,"Hoshiarpur - 146011, Punjab, India","Mobile : 9463570288, 9814028986, 9872829200 "
Blooming Buds School,"Moga - 142001, Punjab, India","Mobile : 9023421775, 9023421875 (Reception) "
Blossom Convent School,"Mohali - 160103, Punjab, India",Mobile : 8557914405 
Bragnam - NLM Kids World,"Amritsar - 143001, Punjab, India",Mobile : 9041450022 
Bragnam - Nutkins,"Zirakpur - 140603, Punjab, India",Mobile : 9256927554 
Bragnam - Phabat,"Zirakpur - 140603, Punjab, India",Mobile : 9218559459 
Bragnam Berries,"Zirakpur - 140603, Punjab, India",Mobile : 9256927554 
Bragnam Harjas Pre School,"Ludhiana - 141115, Punjab, India",Mobile : 9041250022 
Bragnam Lexicon,Mobile : 9256927554 ,Mobile : 9256927554 
Bragnam Playway,"Zirakpur, Punjab, India",Mobile : 9041450022 
Bragnam Pre School,Mobile : 9256927554 ,Mobile : 9256927554 
Bragnam Pre School - Ainokot,"Gurdaspur - 143514, Punjab, India",Mobile : 9256927554 
Brahmrishi Mission School,"Abohar - 152116, Punjab, India","Mobile : 9872593348, 9316206644 "
Brainworks,"Mohali - 140603, Punjab, India","Mobile : 9501051197, 8146585797 "
Brats n Cuties Preschool - Pakhowal Road,"Ludhiana - 141003, Punjab, India",Mobile : 8968691912 
Bright Beginning School,"Jalandhar - 144001, Punjab, India",Mobile : 9888946464 
Brightway Holy Innocent School,"Amritsar - 302020, Punjab, India",Mobile : 9872466663 
British Convent Junior,"Zirakpur, Punjab, India",Mobile : 8872988988 
British International School,"Malerkotla - 148023, Punjab, India",Mobile : 8283816075 
British Olivia School,"Jalandhar - 144005, Punjab, India",Mobile : 9781784809 
Broadway Public School,"Barnala - 148104, Punjab, India",Mobile : 9417350615 
Brookfield International School,"Mohali - 140110, Punjab, India",Mobile : 9066790662 
BRS Public School,"Jalandhar - 144026, Punjab, India",Mobile : 9872491469 
Bubbles Montessori International Pre School,"Barnala - 148101, Punjab, India","Mobile : 9815577250, 9878816162 "
Budding Brains International School,"Ludhiana - 141109, Punjab, India","Mobile : 9501180174, 7696000500 "
Buds Senior School,"Amritsar - 143001, Punjab, India",Mobile : 9815526393 
BVS Convent Public School,"Ludhiana - 141008, Punjab, India","Mobile : 9316816121, 9888352900 "
Cambridge Global School,"Patiala - 147001, Punjab, India","Mobile : 9501199003, 9501299003 "
Cambridge International School - CIS,"Moga - 142001, Punjab, India","Mobile : 9988654770, 9780609998 "
Canadian Point Grey School,"Moga - 142002, Punjab, India",Mobile : 9216692166 
Career Academy School,"Patiala - 147004, Punjab, India",Mobile : 9855044044 
Career Point Gurukul,"Mohali - 140055, Punjab, India","Mobile : 7087228881, 7087228882 "
CBM High School,"Ludhiana - 141008, Punjab, India","Mobile : 9316825811, 9316827695 "
Chandigarh Public School,"Mohali - 140603, Punjab, India",Mobile : 9888322035 
Cherubs The Preschool,"Ludhiana - 141002, Punjab, India",Mobile : 9814306690 
Childhood Kindergarten Playway School,"Ludhiana - 141001, Punjab, India",Mobile : 9781998419 
Christ Jyoti Convent School,"Kapurthala - 144626, Punjab, India",Mobile : 8427286744 
Christ The Kind Convent School,"Kapurthala - 144601, Punjab, India","Mobile : 9814427178, 7087218255 "
CJS Public School,"Jalandhar - 144008, Punjab, India","Mobile : 7341115941, 7341115942 "
Clay Preschool,"Ludhiana - 141010, Punjab, India",Mobile : 8015600003 
CLH Senior Secondary School,"Amritsar - 143001, Punjab, India","Mobile : 9463482714, 9988060067, 9815299333 "
Colonel Public School,"Sangrur - 148031, Punjab, India","Mobile : 7027561445, 9416045366 "
Continental Collegiate Senior Secondary School,"Fatehgarh Sahib - 140406, Punjab, India","Mobile : 8591385913, 9914464197 "
CT Public School,"Jalandhar - 144008, Punjab, India",Mobile : 9814920839 
Cute Smiles,"Zirakpur, Punjab, India","Mobile : 9257257484, 9779392454, 9988805498 "
Cynosure International Prep School,"Ludhiana - 141002, Punjab, India","Mobile : 9888844823, 9888815144 "
Dalhousie Public School,"Pathankot - 154001, Punjab, India","Mobile : 9356583201, 9463573138, 9463503229 "
Darrick International School,"Nawan Shehar - 144511, Punjab, India","Mobile : 9592980111, 9888292292 "
Darshan Academy,"Ludhiana - 141010, Punjab, India",Mobile : 8725011252 
Dashmesh Academy,"Kapurthala - 144601, Punjab, India","Mobile : 9815270599, 9815523899, 9815534240 "
Dashmesh Khalsa Public School,"Mohali - 160059, Punjab, India",Mobile : 9878603505 
Dashmesh Public Senior Secondary School,"Ludhiana - 141401, Punjab, India","Mobile : 9592920993, 9814320993 "
Dasmesh Global School,"Faridkot - 151208, Punjab, India","Mobile : 9592306662, 9417933442 "
Dasmesh Parivar International School,"Tarn Taran - 143401, Punjab, India","Mobile : 9872224144, 9876244571 "
Dasmesh Public Senior Secondary School,"Bathinda - 151001, Punjab, India","Mobile : 9357630002, 9417000376 (Principal) "
DAV Centenary Public School,"Patiala - 147201, Punjab, India",Mobile : 7087167595 
DAV International School,"Amritsar - 143501, Punjab, India","Mobile : 7087136394, 7087136395 "
Dayal Public School,"Ludhiana - 141008, Punjab, India",Mobile : 9216602545 
DCM Presidency School,"Ludhiana - 141010, Punjab, India",Mobile : 8437001272 
Delhi Cambridge School,"Zirakpur - 140603, Punjab, India",Mobile : 9878976371 
Delhi Public School - DPS Abohar,"Abohar - 152116, Punjab, India","Mobile : 8568044444, 8568055555 "
Delhi Public School - DPS Amritsar,"Amritsar - 143115, Punjab, India","Mobile : 7087414533, 7087411533 "
Delhi Public School - DPS Bathinda,"Bathinda - 151201, Punjab, India",Mobile : 7837592165 
Delhi Public School - DPS Jalandhar,"Jalandhar - 144010, Punjab, India",Mobile : 9216923012 
Delhi Public School - DPS Khanna,"Khanna - 141401, Punjab, India",Mobile : 8146249747 
Delhi Public School - DPS Ludhiana,"Ludhiana - 142027, Punjab, India","Mobile : 7087019118, 7087020118 "
Delhi Public School - DPS Sangrur,"Sangrur - 148002, Punjab, India",Mobile : 8872098054 
Delhi Public World School - DPWS,"Zirakpur - 140603, Punjab, India",Mobile : 7087618888 
Devgun Model High School,"Ludhiana - 141003, Punjab, India",Mobile : 9814117493 
Diamonds Academy,"Patiala - 147004, Punjab, India",Mobile : 9914058877 
Dikshant International School,"Zirakpur - 140603, Punjab, India","Mobile : 9257214796, 9779935504 "
DIPS School,Mobile : 9915590262 ,Mobile : 9915590262 
DIPS School - Begowal,"Kapurthala - 144621, Punjab, India",Mobile : 9876644833 
DIPS School - Karol Bagh,"Jalandhar - 144009, Punjab, India",Mobile : 9876010066 
Disciplined Disciples International School - DDIS,"Gurdaspur - 143601, Punjab, India","Mobile : 9878432939, 9872775749, 6283896969 "
Discovery Montessori,"Jalandhar - 144001, Punjab, India",Mobile : 9780924983 
Divine Light International School,"Fatehgarh Sahib - 140406, Punjab, India","Mobile : 9501019651, 6283964887 "
DN Everest Model High School,"Ludhiana - 141001, Punjab, India","Mobile : 9872089990, 9914109270 "
Doaba Public Senior Secondary School,"Hoshiarpur - 144527, Punjab, India","Mobile : 9914256205, 9914266205 "
Dolphin Public School,"Kapurthala - 151204, Punjab, India",Mobile : 9915501700 
Don Bosco School,"Ludhiana - 144001, Punjab, India","Mobile : 8872971655, 7814454575 "
Doon International School,"Mohali - 160062, Punjab, India",Mobile : 9814111159 
Doon Public School,"Bathinda - 151102, Punjab, India",Mobile : 9814168386 
Doon Senior Secondary Public School,"Bathinda - 151103, Punjab, India",Mobile : 9056224333 
Doon Valley Cambridge School,"Firozpur - 142047, Punjab, India",Mobile : 7009702245 
Doraha Public School,"Ludhiana - 141421, Punjab, India",Mobile : 8558847602 
DPS Play School,"Mohali - 140603, Punjab, India",Mobile : 9888953303 
Dr. MCM DAV Centenary Public School,"Pathankot - 145001, Punjab, India",Mobile : 9876167396 
Dr. Modern Senior Secondary School and College,"Amritsar - 143001, Punjab, India",Mobile : 9872873722 
Dr. PK Public School,"Amritsar - 143001, Punjab, India",Mobile : 9812500422 
Dr. Ranjit International School,"Ludhiana - 141002, Punjab, India",Mobile : 9216150150 
Drishti Dr. RC Jain Innovative Senior Secondary Public School,"Ludhiana - 141203, Punjab, India","Mobile : 9216558501, 9216558503 "
DSSD Girls High School,"Jalandhar - 141001, Punjab, India",Mobile : 9501862031 
Durga Devi Bassi DAV Centenary Public School,"Firozpur - 152001, Punjab, India",Mobile : 9817046310 
Eastwood International School,"Bathinda - 151401, Punjab, India","Mobile : 9814803893, 9815934300 "
Eduvillas Montessori School,"Ludhiana - 141001, Punjab, India","Mobile : 9814257708, 9914031708 "
Ekam Public School,"Jalandhar - 144041, Punjab, India",Mobile : 9855274268 
Ekta Public School,"Ludhiana - 141001, Punjab, India",Mobile : 9814620508 
Eminent Smart School,"Patiala - 147201, Punjab, India","Mobile : 9814799424, 8146663846 "
Emm Aar International School,"Jalandhar - 144102, Punjab, India",Mobile : 9876008167 
Euro Kids,"Zirakpur, Punjab, India","Mobile : 9888477733, 9781801801 "
EuroKids - Mohali,"Mohali - 160055, Punjab, India",Mobile : 9501177772 
Evershine Public High School,"Ludhiana - 141001, Punjab, India",Mobile : 9888362265 
Excelsior Convent School,"Patiala - 147004, Punjab, India","Mobile : 9888394776, 9416269895 "
First Foundation School,"Patiala - 147001, Punjab, India","Mobile : 9257240403, 9876124443 "
Flairz Play School,"Mohali - 160104, Punjab, India",Mobile : 8126397438 
Fun Tree,"Jalandhar - 144003, Punjab, India",Mobile : 7508223307 
G.S. Memorial Public Senior Secondary School,"Zirakpur - 140603, Punjab, India",Mobile : 9876800160 
Gagan International School,"Gurdaspur - 143530, Punjab, India","Mobile : 9781614156, 9815639312 "
Gagan Shivalik Senior Secondary School,"Gurdaspur - 143530, Punjab, India","Mobile : 9781614156, 9815639312 "
GB International School,"Nabha - 147201, Punjab, India","Mobile : 9914704125, 8195959898 "
GD Goenka International School,"Jalandhar - 144001, Punjab, India","Mobile : 7837887244, 7837886988, 9872766805 "
Gem Public Senior Secondary School,"Mohali - 160060, Punjab, India",Mobile : 9888899995 
GEMS Cambridge International School,"Hoshiarpur - 146001, Punjab, India",Mobile : 9779889306 
GEMS Cambridge International School - GCIS,"Pathankot - 145001, Punjab, India","Mobile : 9463714186, 9876102549, 9888683060 "
Genius Public School - GPS,"Mohali - 160062, Punjab, India",Mobile : 9914038208 
Genius World,"Zirakpur, Punjab, India","Mobile : 9417221137, 9914698898 "
GHG Khalsa High School,"Ludhiana - 141003, Punjab, India",Mobile : 9814474413 
Giggles Play School,"Patiala, Punjab, India",Mobile : 9988706197 
Giggles Playway Convent School,"Abohar - 152116, Punjab, India","Mobile : 8437025809, 9814425809 "
Godwin Public School,"Firozpur - 152123, Punjab, India",Mobile : 9876301091 
Golden Bells Public School,"Mohali - 140308, Punjab, India","Mobile : 9417258830, 9417013795 "
Golden Earth Global School,"Sangrur - 148001, Punjab, India",Mobile : 8054958385 
Golden Public Senior Secondary School,"Patiala, Punjab, India",Mobile : 9356212916 
Good Morning Public School,"Amritsar - 143021, Punjab, India",Mobile : 9815161541 
Government Elementary School,"Kapurthala - 144620, Punjab, India",Mobile : 9876899572 
Government Girls Senior Secondary School,"Amritsar - 143001, Punjab, India",Mobile : 9501106160 
Green Field Smart School,"Mohali - 160059, Punjab, India",Mobile : 9876555990 
Green Jyoti Model School,"Mohali - 160059, Punjab, India","Mobile : 9464120624, 8283838294 "
Green Land Convent School,"Ludhiana, Punjab, India","Mobile : 8872006997, 8872006998, 8872006999 "
Green Land Convent School - Civil City,"Ludhiana - 141001, Punjab, India","Mobile : 8872007170, 8872007171 "
Green Land Convent School - Dugri,"Ludhiana - 141010, Punjab, India","Mobile : 8872006993, 8872006994, 8872006995 "
Green Valley Convent School,"Moga - 142055, Punjab, India",Mobile : 9855953647 
Green Valley Public School,"Sangrur - 148021, Punjab, India",Mobile : 9915955655 
Greenfields School,"Fatehgarh Sahib - 140406, Punjab, India","Mobile : 9257210222, 8146784840 "
GTB International Senior Secondary School,"Kapurthala - 144601, Punjab, India",Mobile : 9914612929 
Gurpreet Holy Heart Public School,"Barnala - 148104, Punjab, India","Mobile : 9257295155, 9257276155, 9872000155, 9216216028 "
Guru Amar Dass Public School,"Jalandhar - 144003, Punjab, India",Mobile : 9872731639 
Guru Amar Dass Senior Secondary School,"Tarn Taran, Punjab, India",Mobile : 9463729026 
Guru Dasmesh Academy,"Mukatsar - 152113, Punjab, India","Mobile : 8968336565, 9317613000, 9316513000 "
Guru Gobind Singh Public Senior Secondary School,"Firozpur - 01638, Punjab, India","Mobile : 9417207700, 9417263818, 9463722216 "
Guru Gobind Singh Vidya Mandir Senior Secondary School,"Mohali - 140901, Punjab, India","Mobile : 9781330156, 9781330153 "
Guru Kalgidhar Public School,"Amritsar - 143102, Punjab, India","Mobile : 9888855220, 9878863088, 9888055325 "
Guru Nanak Mission Public School,"Jalandhar - 144201, Punjab, India",Mobile : 9855672353 
Guru Nanak Prem Karamsar Public School,"Kapurthala - 144624, Punjab, India",Mobile : 9501688089 
Guru Nanak Public Senior Secondary School,"Ludhiana - 142032, Punjab, India",Mobile : 9872801843 
Guru Nanak Secondary School,"Amritsar - 143001, Punjab, India",Mobile : 9412624369 
Gurukul Kids Play School,"Zirakpur, Punjab, India","Mobile : 9814703080, 9056458480 "
Gurukul Public High School,"Ropar - 140001, Punjab, India",Mobile : 9257114360 
Gurukul World School,"Mohali - 160069, Punjab, India","Mobile : 8054497000, 8054017900 "
Gyan Ganga International School,"Sangrur - 148033, Punjab, India",Mobile : 9354651266 
Happy Valley Play School,"Ludhiana - 142026, Punjab, India",Mobile : 7624482447 
Harvest International School,"Ludhiana - 142023, Punjab, India",Mobile : 9876500635 
Hebron International School,"Mohali - 140603, Punjab, India",Mobile : 9988333800 
Hello Kids - Colours,"Nawan Shehar - 144505, Punjab, India","Mobile : 8194800463, 9781639686 "
Hello Kids - Creatorz,"Hoshiarpur - 146001, Punjab, India","Mobile : 9915047602, 9914933131 "
Hello Kids - Crescent,"Jalandhar - 144001, Punjab, India",Mobile : 9814108883 
Hello Kids - Curious Kiddz,"Patiala - 147001, Punjab, India","Mobile : 9915139030, 9356516665 "
Hello Kids - First Step,"Bathinda - 151005, Punjab, India","Mobile : 9780833788, 8289053421 "
Hello Kids - Springdale Playway School,"Barnala - 148101, Punjab, India","Mobile : 9463558848, 9041450168 "
Hello Kids - SRB International,"Pathankot - 143533, Punjab, India","Mobile : 9888508167, 9417021358 "
Hello Kids Nabha,"Nabha, Punjab, India","Mobile : 9814766267, 9814539397 "
Heritage Public School,"Sangrur - 148026, Punjab, India","Mobile : 9781501137, 9781501137 "
Heritage Public School - HPHS,"Mohali - 160017, Punjab, India","Mobile : 9878015766, 9216926926 "
HKL Public School,"Firozpur - 152022, Punjab, India","Mobile : 9041089449, 9041089428 "
HKL Senior Secondary School,"Firozpur - 152022, Punjab, India","Mobile : 9041089449, 9041089428 "
HM Senior Secondary School,"Firozpur - 152002, Punjab, India",Mobile : 9815396944 
Hollyhock Nursery School,"Mohali - 160071, Punjab, India",Mobile : 9815875665 
Holy Angels Nursery School,"Ludhiana - 141002, Punjab, India",Mobile : 9417200357 
Holy Heart High School,"Amritsar - 143001, Punjab, India","Mobile : 7341124827, 7341124828, 7341124829 "
Holy Heart Juniors,"Amritsar, Punjab, India","Mobile : 7341124824, 7341124825 "
Holy Heart Presidency School,"Amritsar, Punjab, India","Mobile : 7341124827, 7341124828, 7341124829 "
Holy Heart Public Senior Secondary School,"Mansa - 151501, Punjab, India",Mobile : 8968455811 
Holy Mary’s School,"Mohali - 140601, Punjab, India",Mobile : 9914474666 
HS High School,"Abohar - 152116, Punjab, India",Mobile : 9256814988 
Humming Bird International Play School,"Zirakpur, Punjab, India",Mobile : 8427666681 
IK Jote Public School,"Ludhiana - 141005, Punjab, India",Mobile : 9363409990 
IM Playway School,"Ludhiana - 141003, Punjab, India",Mobile : 9988889498 
Indus Public School,"Mohali - 140301, Punjab, India","Mobile : 9914241440, 9417068974, 9855423440 "
Indus World School - IWS Amritsar,"Amritsar - 143001, Punjab, India",Mobile : 9915090944 
Indus World School - IWS Ludhiana,"Ludhiana - 142027, Punjab, India",Mobile : 9878611112 
International Fateh Academy,"Amritsar - 143115, Punjab, India","Mobile : 9501108832, 9501108834 "
ISA Blue Bells Academy,"Mohali - 143401, Punjab, India",Mobile : 9872114466 
IVY World School,"Jalandhar - 144007, Punjab, India","Mobile : 9878988330, 7589117245, 9356691984 "
Jack ‘n’ Jill,"Mohali - 140110, Punjab, India",Mobile : 9878569707 
Jack n Jill School,"Amritsar - 143001, Punjab, India",Mobile : 9815689916 
Jagat Jyoti High School,"Amritsar - 143006, Punjab, India","GT Road, Mahan Singh Gate, Near Reliance Mobile Store"
Jai Vatika Public School,"Barnala - 148101, Punjab, India","Mobile : 9217122624, 9217122623 "
Jasdev Public School - JPS,"Patiala - 140701, Punjab, India","Mobile : 8725062300, 8725062301 "
Jasmine Modern Public School,"Zirakpur, Punjab, India",Mobile : 9855558563 
Jatindera Greenfield School,"Ludhiana - 141104, Punjab, India",Mobile : 9872621145 
Jesus’ Sacred Heart School,"Ludhiana - 141004, Punjab, India","Mobile : 9216100465, 9216000465 "
Jhamku Devi Girls' School,"Firozpur - 152116, Punjab, India",Mobile : 9257412221 
Jingle Bell School,"Ludhiana - 141008, Punjab, India",Mobile : 9855590301 
Jiya Lal Mittal DAV Public School,"Gurdaspur - 143521, Punjab, India","Mobile : 9463695371, 9417700374 "
JLPL School,"Mohali - 140104, Punjab, India",Mobile : 7307645566 
JMK International School,"Pathankot - 145001, Punjab, India","Mobile : 9465781783, 9357896882 "
JNA DAV Senior Secondary Public School,"Mukatsar - 152101, Punjab, India",Mobile : 9781330602 
Joson Kids World Playway School,"Jalandhar - 144008, Punjab, India",Mobile : 9814904552 
JS Paramount Convent Sports School - JPCSS,"Bathinda - 151005, Punjab, India",Mobile : 9781957333 
Jyoti Model High School,"Amritsar, Punjab, India",Mobile : 9814452373 
Kalgidhar Academy Senior Secondary School,"Ludhiana - 141421, Punjab, India",Mobile : 9815901305 
Kapurthala Public High School,"Kapurthala - 144601, Punjab, India",Mobile : 9872083677 
Kautilya International Public School,"Firozpur - 152123, Punjab, India","Mobile : 9417006617, 9464415062 "
KD International School,"Tarn Taran - 143401, Punjab, India",Mobile : 8727020011 
